"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-3.24395354173727,0.23301586356962,-13.9215995513887,9.69764975532149e-30
"Height_log10",2.39808863814368,0.134617628183797,17.8140758420547,1.84959651192629e-40
